Source	Target	Id	Type	Kind
Abel	zur Wiesch	1	Undirected	Publication
Bharti	Ferrari	2	Undirected	Publication
Bharti	Bjornstad	3	Undirected	Publication
Bjornstad	Ferrari	4	Undirected	Publication
Bjornstad	Read	5	Undirected	Publication
Bjornstad	Hudson	6	Undirected	Publication
Bjornstad	Shea	7	Undirected	Publication
Bjornstad	Cattadori	8	Undirected	Publication
Bjornstad	Thomas	9	Undirected	Publication
Bjornstad	Kirimanjeswara	10	Undirected	Publication
Cattadori	Hudson	11	Undirected	Publication
Cattadori	Read	12	Undirected	Publication
Cattadori	Ferrari	13	Undirected	Publication
Ferrari	Shea	14	Undirected	Publication
Ferrari	Hudson	15	Undirected	Publication
Ferrari	Hughes	16	Undirected	Publication
Ferrari	Read	17	Undirected	Publication
Ferrari	Reluga	18	Undirected	Publication
Hanks	Hughes	19	Undirected	Publication
Hudson	Read	20	Undirected	Publication
Kennedy	Read	21	Undirected	Publication
Kennedy	Szpara	22	Undirected	Publication
Lindner	Llinas	23	Undirected	Publication
Rasgon	Thomas	24	Undirected	Publication
Read	Thomas	25	Undirected	Publication
Read	Szpara	26	Undirected	Publication
Read	Schiff	27	Undirected	Publication
Boni	Ferrari	28	Undirected	Publication
Conway	Reluga	29	Undirected	Publication
Conway	Shea	30	Undirected	Publication
Hanks	Lin	31	Undirected	Publication
Hughes	Reluga	32	Undirected	Publication
Read	zur Wiesch	33	Undirected	Publication
Ferrari	Hanks	34	Undirected	Funding
Hanks	Hughes	35	Undirected	Funding
Ferrari	Hughes	36	Undirected	Funding
Llinas	Szpara	37	Undirected	Funding
Abel	zur Wiesch	38	Undirected	Funding
Lin	Llinas	39	Undirected	Funding
Read	Szpara	40	Undirected	Funding
McGraw	Rasgon	41	Undirected	Funding
Ferrari	Schiff	42	Undirected	Funding
Bharti	Hudson	43	Undirected	Funding
Bharti	Hughes	44	Undirected	Funding
Bjornstad	Ferrari	45	Undirected	Funding
Bjornstad	McGraw	46	Undirected	Funding
Bjornstad	Read	47	Undirected	Funding
Bjornstad	Shea	48	Undirected	Funding
Boni	Cattadori	49	Undirected	Funding
Boni	Hudson	50	Undirected	Funding
Boni	McGraw	51	Undirected	Funding
Boni	Rasgon	52	Undirected	Funding
Boni	Sutton	53	Undirected	Funding
Boni	Szpara	54	Undirected	Funding
Cattadori	Ferrari	55	Undirected	Funding
Cattadori	Hudson	56	Undirected	Funding
Conway	Hanks	57	Undirected	Funding
Conway	Hudson	58	Undirected	Funding
Ferrari	Hudson	59	Undirected	Funding
Ferrari	Shea	60	Undirected	Funding
Hudson	Thomas	61	Undirected	Funding
Kennedy	McGraw	62	Undirected	Funding
Kennedy	Sutton	63	Undirected	Funding
Kennedy	Szpara	64	Undirected	Funding
Kirimanjeswara	Sutton	65	Undirected	Funding
McGraw	Thomas	66	Undirected	Funding
Rasgon	Thomas	67	Undirected	Funding
Schiff	Szpara	68	Undirected	Funding
Bharti	Bjornstad	69	Undirected	Funding
Bharti	Szpara	70	Undirected	Funding
Bjornstad	Cattadori	71	Undirected	Funding
Bjornstad	Kirimanjeswara	72	Undirected	Funding
Bjornstad	Thomas	73	Undirected	Funding
Cattadori	Hughes	74	Undirected	Funding
Cattadori	Read	75	Undirected	Funding
Conway	Hughes	76	Undirected	Funding
Hudson	Read	77	Undirected	Funding
Kennedy	Read	78	Undirected	Funding
Read	Schiff	79	Undirected	Funding
Read	Thomas	80	Undirected	Funding
Abel	zur Wiesch	81	Undirected	Mentoring
Cattadori	Ferrari	82	Undirected	Mentoring
Bjornstad	Ferrari	83	Undirected	Mentoring
Ferrari	Shea	84	Undirected	Mentoring
Cattadori	Hudson	85	Undirected	Mentoring
Hanks	Lin	86	Undirected	Mentoring
Read	Thomas	87	Undirected	Mentoring
